Year of Birth,Gender,Child's First Name
2011,FEMALE,GERALDINE
2011,FEMALE,GIA
2011,FEMALE,GIANNA
2011,FEMALE,GISELLE
2011,FEMALE,GRACE
2011,FEMALE,GUADALUPE
2011,FEMALE,HAILEY
2011,FEMALE,HALEY
2011,FEMALE,HANNAH
2011,FEMALE,HAYLEE
2011,FEMALE,HAYLEY
2011,FEMALE,HAZEL
2011,FEMALE,HEAVEN
2011,FEMALE,HEIDI
2011,FEMALE,HEIDY
2011,FEMALE,HELEN
2011,FEMALE,IMANI
2011,FEMALE,INGRID
2011,FEMALE,IRENE
2011,FEMALE,IRIS
2011,FEMALE,ISABEL
2011,FEMALE,ISABELA
2011,FEMALE,ISABELLA
2011,FEMALE,ISABELLE
2011,FEMALE,ISIS
2011,FEMALE,ITZEL
2011,FEMALE,IZABELLA
2011,FEMALE,JACQUELINE
2011,FEMALE,JADA
2011,FEMALE,JADE
2011,FEMALE,JAELYNN
2011,FEMALE,JAMIE
2011,FEMALE,JANELLE
2011,FEMALE,JASLENE
2011,FEMALE,JASMIN
2011,FEMALE,JASMINE
2011,FEMALE,JAYDA
2011,FEMALE,JAYLA
2011,FEMALE,JAYLAH
2011,FEMALE,JAYLEEN
2011,FEMALE,JAYLENE
2011,FEMALE,JAYLIN
2011,FEMALE,JAYLYN
2011,FEMALE,JAZLYN
2011,FEMALE,JAZMIN
2011,FEMALE,JAZMINE
2011,FEMALE,JENNIFER
2011,FEMALE,JESSICA
2011,FEMALE,JIMENA
2011,FEMALE,JOCELYN
2011,FEMALE,JOHANNA
2011,FEMALE,JOSELYN
2011,FEMALE,JULIA
2011,FEMALE,JULIANA
2011,FEMALE,JULIANNA
2011,FEMALE,JULIET
2011,FEMALE,JULIETTE
2011,FEMALE,JULISSA
2011,FEMALE,KAELYN
2011,FEMALE,KAILEY
2011,FEMALE,KAILYN
2011,FEMALE,KAITLYN
2011,FEMALE,KAMILA
2011,FEMALE,KAREN
2011,FEMALE,KARLA
2011,FEMALE,KATE
2011,FEMALE,KATELYN
2011,FEMALE,KATELYNN
2011,FEMALE,KATHERINE
2011,FEMALE,KATIE
2011,FEMALE,KAYLA
2011,FEMALE,KAYLEE
